Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,2014,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,26.7
Zambia,ZMB,2018,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,32.2
Zambia,ZMB,2014,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,33.5
Zambia,ZMB,2007,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,43.1
Zambia,ZMB,2002,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,52.1
Zambia,ZMB,2018,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,21.3
Zambia,ZMB,2014,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,23.5
Zambia,ZMB,2007,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,32.9
Zambia,ZMB,2002,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,45.4
Zambia,ZMB,2018,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,26
Zambia,ZMB,2014,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,29.7
Zambia,ZMB,2007,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,42.3
Zambia,ZMB,2002,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,78.8
Zambia,ZMB,2018,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,31.3
Zambia,ZMB,2014,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,33.1
Zambia,ZMB,2007,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,42.6
Zambia,ZMB,2002,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,60.9
Zambia,ZMB,2018,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,45.1
Zambia,ZMB,2014,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,46.9
Zambia,ZMB,2007,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,61.9
Zambia,ZMB,2002,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,85.4
